사용월,호선명,지하철역,04시-05시 승차인원,04시-05시 하차인원,05시-06시 승차인원,05시-06시 하차인원,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원,23시-24시 승차인원,23시-24시 하차인원,00시-01시 승차인원,00시-01시 하차인원,01시-02시 승차인원,01시-02시 하차인원,02시-03시 승차인원,02시-03시 하차인원,03시-04시 승차인원,03시-04시 하차인원,작업일자
202001,1호선,동대문,725,8,12681,1786,9016,6186,13096,10733,20234,22679,20559,25891,18843,25745,21450,33140,26737,35736,30178,34722,31637,33487,33030,31988,32948,28574,32327,28109,30813,28165,20918,27472,16799,19239,15080,16508,12694,14426,6781,11746,911,4037,22,90,1,4,0,0,20200203
202001,1호선,동묘앞,130,2,3039,732,3164,4162,5512,8270,8602,19942,8322,15828,9436,18251,14166,27406,19890,33268,26039,35757,33350,37431,37890,30838,38236,22196,35145,15236,25762,10989,11279,7789,6649,5754,5674,5751,3794,5819,1769,4130,244,2362,6,152,0,11,0,0,20200203
202001,1호선,서울역,908,18,8948,7940,13146,47332,37251,97250,73760,215532,59560,154516,62210,81701,84168,78587,95413,87412,97657,86682,79714,81939,110255,84777,116037,88708,161071,94176,235016,101321,129251,75233,91567,51782,91732,42762,66846,33404,31466,17549,4190,5633,98,291,0,8,0,0,20200203
202001,1호선,시청,55,0,1999,3976,3497,19177,7417,60452,9330,192100,11934,83874,14763,45181,20957,45937,24807,44684,30626,46711,38849,41838,51606,33414,58397,27894,77658,26527,158475,26415,66799,15223,52413,8853,53343,7879,34039,5823,12937,3747,556,1063,7,38,0,0,0,0,20200203
202001,1호선,신설동,255,9,9111,1920,9472,7410,17886,20807,28259,67545,20115,36395,18640,23009,22647,21604,24543,21225,26027,21919,25892,21978,27786,22166,30180,23308,41123,25874,63229,29961,26655,23637,16531,15702,15461,15596,11209,14636,4827,10009,484,2823,7,37,0,0,0,0,20200203
202001,1호선,제기동,287,6,4758,2046,7810,8367,19985,17277,31530,41858,23620,40581,25522,43243,35782,56749,44588,64105,50778,66882,57711,63233,66162,49114,63323,40936,52662,29025,47031,28638,24537,20578,16736,12466,11481,11658,8182,10868,3571,7038,369,1793,1,26,0,0,0,0,20200203
202001,1호선,종각,126,5,4380,4683,4456,25858,6286,94635,10348,262168,13222,158477,18174,73909,30217,70696,39954,68125,54878,68560,63398,61180,81096,51339,93834,48984,138198,56395,232418,70076,115374,42203,98897,17205,112004,11260,92025,8019,42602,5038,2896,1577,9,22,0,0,0,0,20200203
202001,1호선,종로3가,160,25,4750,2452,4234,13222,5495,26329,9178,73643,12981,94163,24003,79163,38647,86114,55279,91200,70630,91727,75308,79838,85537,66499,97145,54821,98108,50410,117513,54431,81093,32006,60055,13622,65589,9673,52438,7607,22638,5357,2565,2284,30,89,0,0,0,0,20200203
202001,1호선,종로5가,38,0,1820,3357,2763,13143,4956,35867,8277,111863,11992,70951,19974,57604,31219,62802,42797,65657,54442,60902,64381,56783,68361,51404,71609,43571,86590,40295,114755,34688,61282,23238,42924,9920,35088,7374,29005,5158,9617,3170,592,1011,2,13,0,0,0,0,20200203
202001,1호선,청량리(서울시립대입구),1217,11,10056,3544,15049,12557,39773,16027,54988,36115,36843,32831,33458,37994,39773,51433,48223,57376,51214,63345,55836,64940,62981,57999,66423,53393,59705,47715,50657,57588,30949,42785,24025,25408,17944,24957,12557,21526,5338,16153,413,5346,4,91,0,0,0,0,20200203
