사용월,호선명,지하철역,04시-05시 승차인원,04시-05시 하차인원,05시-06시 승차인원,05시-06시 하차인원,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원,23시-24시 승차인원,23시-24시 하차인원,00시-01시 승차인원,00시-01시 하차인원,01시-02시 승차인원,01시-02시 하차인원,02시-03시 승차인원,02시-03시 하차인원,03시-04시 승차인원,03시-04시 하차인원,작업일자
201901,2호선,구로디지털단지,148,8,40439,6037,55031,22520,154641,73916,208010,288198,134149,180191,81599,69991,74863,58807,79900,59899,83809,73895,74884,78369,78951,82391,92150,91667,130449,122445,269860,178764,148268,173608,89237,105516,77878,106905,62269,109174,31316,67337,4773,19678,9,351,0,0,0,0,20190203
201901,2호선,구의(광진구청),62,4,13416,1341,25792,10991,70814,15815,130380,44549,74902,27832,39077,22363,33621,22904,35166,25148,36565,28805,33320,31070,31829,37483,34321,42848,40288,55287,50891,93956,28104,78902,21545,50684,20481,50758,17260,49446,10919,28978,1951,10126,9,153,0,0,0,0,20190203
201901,2호선,낙성대,104,0,11594,2324,27126,11041,89675,18889,143983,46982,92385,39180,47609,30014,41947,26983,45246,31142,46119,34354,40925,35945,40788,40964,43469,46426,52236,59550,64598,101640,36830,104861,27538,65841,24659,63127,21239,66236,12124,43189,2100,13814,3,264,0,0,0,0,20190203
201901,2호선,당산,8,2,6908,3800,19543,15855,56578,30265,73654,89744,46725,42277,31238,23062,31188,23084,30507,24613,31156,27333,27997,27136,28332,30145,31691,36366,47102,48533,73670,78256,39638,67121,24979,42098,25398,41393,21337,40022,11424,26004,1764,7075,6,309,0,0,0,0,20190203
201901,2호선,대림(구로구청),424,14,34868,3671,33459,13112,77272,23262,110136,67338,78235,43054,46932,37331,40888,41126,43023,40390,44606,42119,41170,41939,41004,50049,43951,53444,54369,73473,73010,86057,40336,74151,27849,50363,23477,61314,17040,64193,9289,33657,1559,9629,8,406,0,0,0,0,20190203
201901,2호선,도림천,0,0,452,411,1103,716,3160,2946,3417,6015,2126,2223,1804,1383,1593,1214,2131,1925,1615,1279,2104,1584,2089,1588,2127,1884,2765,2192,3789,3082,1968,2986,1228,1800,844,1640,439,1389,215,1169,37,406,1,8,0,0,0,0,20190203
201901,2호선,동대문역사문화공원,387,4,10806,869,5926,8238,7973,19653,14495,60112,14614,42387,15258,35933,18466,33436,23351,35869,26314,41920,32047,39338,38846,35100,43535,32181,54629,34736,65233,41212,44621,48951,32824,32730,29950,24345,28345,18959,18917,12673,2926,4548,3,134,0,0,0,0,20190203
201901,2호선,뚝섬,18,0,4142,1797,9130,13242,23263,27099,35147,133396,22016,65516,16907,26965,18425,20990,19838,20586,22968,23182,24109,22146,25943,22818,29558,23585,42648,28796,109907,40235,51606,31500,27860,17980,25547,16495,18465,17113,7922,11005,1329,4310,3,113,1,1,0,0,20190203
201901,2호선,문래,11,1,3761,2523,12212,12241,46364,31910,51444,122378,29116,61675,22770,25402,22776,23260,25836,23981,28218,25118,27404,24777,28813,25103,33210,27143,49246,32634,104606,52788,45535,46812,27803,25671,26795,23316,22821,21061,9675,14886,1736,4537,4,156,0,1,0,0,20190203
201901,2호선,방배,6,2,3153,2781,10143,11427,26301,27125,41197,80348,31970,52946,23275,30342,24887,24557,26541,25890,29614,28937,29727,27692,32174,27388,36099,28400,47261,34740,80942,45978,37560,37953,26084,24255,27061,22684,21262,24702,9733,14535,2124,4741,2,59,0,0,0,0,20190203
201901,2호선,봉천,92,4,15721,2211,28582,11899,84974,11725,126010,28776,76313,24751,42766,23482,36481,25497,39542,26797,41356,29697,34928,32166,33626,39930,35382,44916,40655,54599,42057,84384,25352,82225,18827,50341,17877,49105,14316,48114,6348,30057,1121,9458,5,379,0,0,0,0,20190203
201901,2호선,사당,90,13,14820,3720,24998,32033,78413,50282,110378,82457,80376,62807,51806,49486,50832,60301,58239,63171,66298,60097,70653,61999,70777,70068,71302,93599,83565,125744,111586,192982,80441,157292,71523,85775,84690,80098,85287,79338,50307,51426,9385,16793,10,950,0,0,0,0,20190203
201901,2호선,삼성(무역센터),216,1,5602,5719,8587,39100,17974,127493,26821,378832,27266,278283,27914,131650,42708,114866,55075,102170,76005,112552,92068,100302,117335,86738,136431,80251,203382,79991,348450,93026,220595,58650,159141,27026,141063,21377,99081,18278,29233,10688,4195,5281,5,1742,0,1,0,0,20190203
201901,2호선,상왕십리,28,3,5806,716,12635,5440,38199,11057,68229,40639,36040,22797,22613,15402,22049,14038,22803,15334,23014,17811,20417,18793,20673,20039,22175,23096,27045,30640,35225,50447,21943,40161,14245,25369,13600,24134,9705,24951,3907,16452,615,5928,2,54,1,0,0,0,20190203
