사용월,호선명,지하철역,04시-05시 승차인원,04시-05시 하차인원,05시-06시 승차인원,05시-06시 하차인원,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원,23시-24시 승차인원,23시-24시 하차인원,00시-01시 승차인원,00시-01시 하차인원,01시-02시 승차인원,01시-02시 하차인원,02시-03시 승차인원,02시-03시 하차인원,03시-04시 승차인원,03시-04시 하차인원,작업일자
202101,1호선,동대문,542,15,11232,1512,6920,4611,10340,7951,14857,17036,13070,16659,11682,14967,13016,16227,15784,17886,16952,17782,19355,17424,20306,16095,20926,14624,20108,14745,19005,15122,12907,15188,11741,10244,9187,10156,4139,6416,1426,6405,6,999,0,2,0,0,0,0,20210203
202101,1호선,동묘앞,78,2,2391,738,2761,3527,4457,5734,6977,14687,5588,13409,6386,14013,9706,19323,14318,23997,19975,27026,25755,26641,28426,21195,27605,14522,23169,10057,16419,7615,6999,5208,4789,3885,4265,4664,1982,2495,517,1502,1,704,0,8,0,0,0,0,20210203
202101,1호선,서울역,445,8,6832,4781,8835,24937,27116,66431,43277,145325,31927,91672,29589,44874,35644,36552,43336,38972,44588,39053,40502,37105,50240,38482,58078,39890,93883,45769,144127,50873,72171,34653,49654,23324,51601,22013,20790,8189,6527,3751,32,398,0,2,0,0,0,0,20210203
202101,1호선,시청,18,1,1489,2990,2235,14570,4971,47793,6119,131340,6335,62133,7012,23760,10198,19942,11459,17031,13648,17361,18213,15206,24043,12769,27737,10571,55134,10643,108895,9871,41170,4716,34710,3216,33243,3675,9286,1306,2254,629,4,48,0,1,0,0,0,0,20210203
202101,1호선,신설동,279,3,6413,2235,6769,7410,13739,18243,19137,48070,12766,28106,11310,16316,12868,15035,14144,15547,16963,16126,17564,15538,18799,15573,22733,15417,33392,16980,48075,21175,17757,15251,13613,10184,10978,11633,3813,5699,1156,2747,9,194,0,0,1,0,0,0,20210203
202101,1호선,제기동,271,3,3964,1561,6349,5866,15914,15109,24375,32855,16498,27133,18389,30132,25596,35839,32622,36962,37045,40011,40870,41860,42216,34951,35715,25003,33310,18808,30408,21250,12792,15650,9330,10291,8422,11266,4617,5465,1601,2380,5,189,0,0,0,0,0,0,20210203
202101,1호선,종각,113,1,1852,3464,2578,18288,4413,77560,6631,165202,7997,100421,10911,42055,16566,33259,20303,30355,24807,32406,31147,27866,41132,24197,47952,23353,94486,22887,153681,23132,69054,10706,65480,4650,66880,3814,13805,1626,3108,785,10,100,1,1,0,0,0,0,20210203
202101,1호선,종로3가,109,4,2187,2427,2374,8473,3297,18316,5367,52803,7144,54311,13136,42285,21589,40904,27183,40138,33818,41532,38643,39874,42923,32894,45809,25998,56011,20659,79064,17711,43768,7957,35106,3901,33741,4108,8128,1572,2142,1104,7,194,0,3,0,0,0,0,20210203
202101,1호선,종로5가,157,4,1170,2806,1933,11097,3473,30990,5745,86177,7670,51639,12690,38927,19495,35761,24775,34242,29465,34614,36459,34545,41052,28364,46796,22094,61473,17184,82698,13074,38369,6821,26177,3731,20639,4041,5426,2073,1449,1181,3,159,0,0,0,0,0,0,20210203
202101,1호선,청량리(서울시립대입구),860,16,8101,3523,11290,14457,28669,12303,36183,28638,24516,23842,22908,27766,26819,32216,31821,34555,35026,36799,39781,41860,43135,38632,43645,33122,39305,31091,33065,38281,17157,26198,14256,15871,10439,18652,3632,8591,1009,3651,11,438,0,0,0,0,0,0,20210203
